popul;density;city;n_religion;religion;l_exp_fem;l_exp_m;literacy;p_growth;child_death;gnp;region;calory;spid;lev_birth;lev_death;lev_spid;log_gnp;lg_lev_spid;birth_to_death;children;log_popul;harvest;literacy_male;literacy_fem;climate;filter
17800;2,3;85;4;Protstnt;80;74;100;1,38;7,3;16848;3;3216;4727;15;8;26,55617978;4,226548354;1,926784394;1,875;1,9;4,250420002;6;100;100;3;0
8000;94;58;2;Catholic;79;73;99;0,2;6,7;18396;1;3495;1150;12;11;14,375;4,264723401;1,704203962;1,090909091;1,5;3,903089987;17; ; ;8;1
7400;86;54;1;Muslim;75;67;98;1,4;35;3000;5; ; ;23;7; ;3,477121255; ;3,285714286;2,8;3,86923172;18;100;100;3;0
58400;237;89;4;Protstnt;80;74;99;0,2;7,2;15974;1;3149;9025;13;11;15,45376712;4,20341368;1,729047295;1,181818182;1,83;4,766412847;29; ; ;8;1
33900;12;86;2;Catholic;75;68;95;1,3;25,6;3408;6;3113;3904;20;9;11,51622419;3,532499586;1,63027933;2,222222222;2,8;4,530199698;9;96;95;8;1
3700;126;68;3;Orthodox;75;68;98;1,4;27;5000;5; ;2;23;6;0,054054054;3,698970004;0,557911938;3,833333333;3,19;3,568201724;17;100;100; ; 
20500;25;18;1;Muslim;44;45;29;2,8;168;205;3; ;0;53;22;0;2,311753861;0;2,409090909;6,9;4,311753861;12;44;14;3;0
125000;800;16;1;Muslim;53;53;35;2,4;106;202;3;2021;1;35;11;0,000857633;2,305351369;0,243590468;3,181818182;4,7;5,096910013;67;47;22;5;1
256;605;45;4;Protstnt;78;73;99;0,21;20,3;6950;6; ;418;16;8,4;139,3333333;3,841984805;2,684176102;1,904761905;1,78;2,408239965;77;99;99;5;1
600;828;83;1;Muslim;74;71;77;2,4;25;7875;5; ;13;29;4;2,166666667;3,896250562;1,167235319;7,25;3,96;2,77815125;2;55;55;3;0
